file,role,cv,transition,rhythm_jaccard,same_rhythm_mask,sound_same,sound_added,sound_removed,delta_notes_per_bar,delta_onsets_per_bar,delta_velocity_p50,delta_velocity_p90,delta_register_width,delta_polyphony_mean,delta_fine_subdivision_fraction,delta_offbeat_8th_fraction,delta_strum_fraction,delta_staccato_fraction,delta_legato_overlap_fraction
Factory Styles/70's Disco 1.mid,DRUM,1,V1->V2,0.7647058823529411,False,True,0,0,4.0,4.0,0.0,0.0,0,-0.042139999999999844,-0.05614000000000002,-0.05614000000000002,0.0,0.010849999999999915,0.0
Factory Styles/70's Disco 1.mid,DRUM,1,V2->V3,0.38095238095238093,False,True,0,0,0.5,-2.25,-1.0,-2.0,-2,0.2104999999999999,-0.21053,-0.00539999999999996,0.0,-0.08987000000000012,0.0
Factory Styles/70's Disco 1.mid,DRUM,1,V3->V4,0.6470588235294118,False,True,0,0,3.25,-0.25,18.0,2.0,2,0.25166,0.17582,-0.007330000000000031,0.0,0.12987000000000015,0.0
Factory Styles/70's Disco 1.mid,BASS,1,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,BASS,1,V2->V3,1.0,True,True,0,0,0.0,0.0,10.5,8.499999999999986,2,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,BASS,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC1,1,V1->V2,0.6428571428571429,False,True,0,0,16.5,5.5,0.0,0.0,0,0.0,0.0,-0.18488,0.0,0.06061000000000005,0.13737999999999997
Factory Styles/70's Disco 1.mid,ACC1,1,V2->V3,0.875,False,True,0,0,6.0,2.0,-1.5,0.0,-2,0.0,0.0,-0.03571000000000002,0.0,-0.0981200000000001,0.12236000000000002
Factory Styles/70's Disco 1.mid,ACC1,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC5,1,V1->V2,1.0,True,False,1,1,0.5,-0.5,0.0,0.0,3,2.5,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC5,1,V2->V3,1.0,True,False,1,1,-0.5,0.0,-14.0,-11.0,0,-1.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC5,1,V3->V4,1.0,True,False,1,1,-0.75,-0.25,14.0,11.0,-3,0.0,0.0,0.0,0.0,0.0,-1.0
Factory Styles/70's Disco 1.mid,PERC,1,V2->V3,0.3333333333333333,False,True,0,0,28.0,0.0,15.0,0.0,27,1.75,-0.5,0.022729999999999972,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,PERC,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC3,1,V2->V3,1.0,True,True,0,0,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0
