file,cv,transition,active_roles_delta,added_roles,removed_roles,notes_per_bar_delta,velocity_p50_delta,fine_subdivision_delta,polyphony_delta
Factory Styles/Blues Ballad.mid,1,V1->V2,0,[],[],3.5,0.0,-0.03039854574602091,-0.21985834520401548
Factory Styles/Blues Ballad.mid,1,V2->V3,0,[],[],13.5,0.0,0.056276983797497515,0.09511358703799822
Factory Styles/Blues Ballad.mid,1,V3->V4,0,[],[],17.25,0.5,0.015539398316323672,0.2765343668915412
Factory Styles/Blues Ballad.mid,2,V1->V2,0,[],[],3.0,0.0,-0.03320497870054118,-0.2349432646889511
Factory Styles/Blues Ballad.mid,2,V2->V3,0,[],[],14.0,0.0,0.05908341675201778,0.0979502635901599
Factory Styles/Blues Ballad.mid,2,V3->V4,0,[],[],17.25,0.5,0.015539398316323672,0.3329576682234905
Factory Styles/Blues Ballad.mid,3,V2->V3,0,[],[],15.5,2.0,0.060929550550493816,0.10686062091688187
Factory Styles/Blues Ballad.mid,3,V3->V4,0,[],[],21.0,1.0,0.02250340585227406,0.5350791984321854
Factory Styles/Blues.mid,1,V1->V2,0,[],[],17.08333333333333,-10.0,-0.0068410923526383005,0.4031982378726735
Factory Styles/Blues.mid,1,V2->V3,0,[],[],-34.25,6.0,-0.0312763352111165,-0.2945385239551479
Factory Styles/Blues.mid,1,V3->V4,0,[],[],45.33333333333333,-6.0,0.06344927185108196,0.4191006175942551
Factory Styles/Blues.mid,2,V1->V2,2,"[""ACC3"",""ACC4""]",[],28.666666666666664,-9.0,0.01173269330711424,0.485725497289774
Factory Styles/Blues.mid,2,V2->V3,0,[],[],-33.416666666666664,6.0,-0.025960673009173707,-0.3033571234720669
Factory Styles/Blues.mid,2,V3->V4,0,[],[],42.50000000000001,-6.0,0.07265897720514114,0.354461103079333
Factory Styles/British Pop.mid,1,V1->V2,3,"[""ACC3"",""ACC4"",""PERC""]",[],21.75,-6.5,-0.0003807219391399573,-0.09502116053145393
Factory Styles/British Pop.mid,1,V2->V3,1,"[""ACC5""]",[],2.5,0.0,0.02191235966876569,-0.006893716467034405
Factory Styles/British Pop.mid,1,V3->V4,0,[],[],24.75,0.5,0.05934490956452324,0.2440681446547488
Factory Styles/British Pop.mid,2,V1->V2,3,"[""ACC3"",""ACC4"",""PERC""]",[],25.25,-9.5,0.06255861850925015,-0.05012493967289289
Factory Styles/British Pop.mid,2,V2->V3,1,"[""ACC5""]",[],-1.0,2.5,-0.05144751639529625,0.0012557553143373035
Factory Styles/British Pop.mid,2,V3->V4,0,[],[],30.25,0.0,0.08722922186147186,0.1357469653679655
Factory Styles/Broadway.mid,1,V1->V2,1,"[""ACC1""]",[],0.25,0.0,-0.04895194888766316,0.11184847674204845
Factory Styles/Broadway.mid,1,V2->V3,0,[],[],14.25,0.0,-0.0593614620962426,-0.13655884574818766
Factory Styles/Broadway.mid,1,V3->V4,0,[],[],19.5,12.0,0.13549932189950875,0.16833824838403877
Factory Styles/Broadway.mid,2,V1->V2,1,"[""ACC1""]",[],0.25,0.0,-0.04895194888766316,0.11184847674204845
