instrument_profile_id,msb,lsb,program,sound,role,family,origin,support_grade,stability,routing,protected,eligible_defects,controller_guards,grouped_proxy_models,unknown_count
NIP-835dd1fb638b4bdc0ed1,121,25,4,EP+Damper1 DNC,MANUAL_ONLY,PIANO,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,64,,22
NIP-10ba9c598081dcf0da45,121,25,21,Steirisch.Akk.1,ACC1,ACCORDION_REED,FACTORY_CORPUS,STRONG,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,4
NIP-5f5790a1dc4e707275a2,121,25,25,Pop SteelGtr RX2,ACC2,GUITAR,FACTORY_CORPUS,LIMITED,UNKNOWN,PRESERVE,True,,1|2|64|80|81,,4
NIP-375a33dbaec307312b54,121,25,56,Cornet DNC,MANUAL_ONLY,BRASS,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,1|2|64|80|81|aftertouch|pitch_bend,,22
NIP-21270ec6e78f3aa4d564,121,25,61,Brass Hit,ACC4,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-7a8b3bc6f76019f26863,121,26,4,EP+Damper2 DNC,MANUAL_ONLY,PIANO,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,64,,22
NIP-2824d4917828d5105626,121,26,16,Tibia,ACC5,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-742746f90be955255980,121,26,21,Steirisch.Akk.2,ACC3,ACCORDION_REED,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-c8a391e09b672362df1f,121,27,25,Mandolin Ens. 2,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,6
NIP-9f7f59d1c8d458838871,121,27,61,Tight Brass 1,ACC2,BRASS,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,5
NIP-c13f58ce4f68f5edf55e,121,28,16,Tibia & Vox,ACC5,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-127de20743681e497fd8,121,28,21,Steirisch.Akk.4,ACC5,ACCORDION_REED,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-6d2d00dd8bec256f832e,121,28,27,Real El. Gtr ST1,ACC2,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-c7ffd94b290d5d7611f1,121,28,61,Tight Brass Pro,ACC5,BRASS,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,5
NIP-ed9d334cc30f0426d414,121,29,16,Post Horn Trem.,ACC5,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-eab7fbf945ef1353f367,121,29,25,RealFolk Gtr ST1,ACC1,GUITAR,FACTORY_CORPUS,GOOD,INSUFFICIENT_SPLIT_SUPPORT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-545914e07e3f519ecd2a,121,29,27,Real El.Gtr ST2,ACC2,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-b0d63fb43b86d0bd792b,121,29,61,Tight Brass 2,ACC3,BRASS,FACTORY_CORPUS,GOOD,INSUFFICIENT_SPLIT_SUPPORT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,5
NIP-b2cdd4d5d4f981608417,121,30,25,RealFolk Gtr ST2,ACC5,GUITAR,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-68d17824af96ffd4b7d1,121,30,61,Brass of Power,ACC4,BRASS,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-ebfc4da952663b6451f8,121,31,16,Tibia & Kinura,ACC2,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-3347a6f53540444410af,121,31,25,Real Steel Gtr,ACC3,GUITAR,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-22af4a7a93f3cf2dc1dd,121,31,27,Real El. Guitar2,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-55a2c50b83d5a1381586,121,32,0,Classic Piano,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,7
NIP-67acfc4d0b1d0700f055,121,32,0,Grand Piano,ACC1,PIANO,FACTORY_CORPUS,LIMITED,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,5
NIP-42fca240e619154590bb,121,32,2,Grand&FM Stack,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,6
NIP-c69b675bdab961404c36,121,32,4,Club E. Piano,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,8
