msb,lsb,program,kit,key,hits,styles,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,dur_center,top_positions
120,0,5,Standard Kit RX1,53,1609,11,50.0,70.0,81.0,104.0,115.0,120.0,127.0,1.0,"[[0,813],[144,311],[132,203],[60,141],[96,111],[156,18],[12,7],[180,5]]"
120,0,123,Analog Kit,70,1603,6,17.0,29.2,45.0,82.0,105.0,105.0,127.0,20.0,"[[0,606],[144,475],[96,281],[48,217],[156,21],[24,3]]"
120,0,64,Percussion Kit,53,1602,20,25.0,32.0,44.0,70.0,80.0,98.0,126.0,2.0,"[[0,916],[96,377],[144,204],[132,47],[120,15],[48,13],[12,7],[168,7]]"
120,0,66,Trinity Perc.Kit,20,1591,3,22.0,48.0,54.0,65.0,88.0,102.0,109.0,1.0,"[[0,572],[132,502],[60,301],[156,200],[36,2],[72,2],[108,2],[144,2]]"
120,0,6,Standard Kit RX4,42,1562,4,16.0,20.0,40.0,63.0,87.0,99.0,126.0,18.0,"[[0,482],[96,428],[48,180],[144,173],[60,170],[156,128],[120,1]]"
120,0,42,Brush Kit RX1,44,1554,19,1.0,49.0,70.0,81.5,100.0,109.0,127.0,1.0,"[[0,1473],[12,34],[96,24],[144,14],[48,4],[168,3],[132,2]]"
120,0,64,Percussion Kit,61,1550,14,44.0,93.0,104.0,109.0,114.0,120.0,127.0,2.0,"[[0,1145],[96,380],[12,12],[48,5],[144,5],[132,2],[36,1]]"
120,0,34,Jazz Kit RX2,54,1490,13,18.0,42.0,60.0,64.5,94.0,112.0,125.0,1.0,"[[0,499],[96,335],[48,229],[144,229],[132,87],[60,54],[156,53],[72,4]]"
120,0,2,Standard Kit RX3,35,1474,16,18.0,68.0,99.0,110.0,115.0,115.0,127.0,47.0,"[[0,953],[144,159],[96,123],[132,102],[120,50],[156,30],[48,25],[60,10]]"
120,0,64,Percussion Kit,60,1462,10,80.0,92.0,100.0,108.0,114.0,120.0,120.0,2.0,"[[0,1195],[96,259],[132,4],[144,3],[36,1]]"
120,0,42,Brush Kit RX1,36,1454,15,26.0,50.0,76.0,87.0,96.0,113.4,127.0,45.0,"[[0,975],[132,131],[96,121],[144,118],[36,36],[84,33],[12,12],[120,8]]"
120,0,64,Percussion Kit,15,1435,9,22.0,51.0,60.0,67.0,70.0,72.0,82.0,47.0,"[[48,358],[0,302],[144,241],[60,212],[156,210],[96,110],[180,2]]"
120,0,89,Pop Std. Kit 1,54,1427,10,35.0,79.6,93.0,116.0,124.0,127.0,127.0,43.0,"[[0,727],[96,455],[132,81],[144,67],[60,61],[48,16],[120,9],[108,4]]"
120,0,65,Latin Perc. Kit1,59,1425,5,34.0,40.0,44.0,51.0,59.0,110.0,127.0,2.0,"[[0,481],[60,370],[132,320],[96,104],[48,54],[144,52],[156,44]]"
120,0,34,Jazz Kit RX2,69,1409,6,19.0,23.0,28.0,46.0,58.0,70.0,84.0,2.0,"[[144,372],[48,358],[0,341],[96,338]]"
120,0,4,Pop Std. Kit RX,38,1400,8,18.0,60.0,98.0,108.0,123.0,127.0,127.0,12.5,"[[0,743],[12,160],[132,150],[60,84],[96,78],[144,45],[48,33],[120,28]]"
120,0,4,Pop Std. Kit RX,51,1395,5,11.0,60.0,69.0,84.0,109.0,122.0,127.0,34.0,"[[0,822],[96,181],[132,135],[144,129],[48,126],[60,2]]"
120,0,125,Brush Kit 1,51,1390,8,26.0,54.9,63.0,81.0,92.0,103.0,126.0,1.0,"[[0,574],[96,215],[48,155],[144,148],[132,145],[12,38],[180,34],[156,26]]"
120,0,64,Percussion Kit,48,1363,10,39.0,49.0,54.0,69.0,94.0,107.0,126.0,1.0,"[[96,539],[0,435],[144,216],[48,107],[156,24],[60,24],[132,16],[120,2]]"
120,0,65,Latin Perc. Kit1,76,1350,3,29.0,31.0,37.0,39.0,43.0,63.0,65.0,1.0,"[[96,499],[84,426],[180,401],[0,16],[144,8]]"
120,0,1,Standard Kit RX2,18,1349,6,34.0,54.0,54.0,69.0,99.0,117.0,127.0,1.0,"[[48,424],[144,399],[96,270],[0,187],[60,28],[156,26],[168,6],[132,3]]"
120,0,64,Percussion Kit,51,1329,11,29.0,38.0,60.0,82.0,94.0,104.0,122.0,2.0,"[[96,554],[0,344],[48,225],[132,127],[36,32],[144,19],[60,11],[24,8]]"
120,0,31,House Kit RX2,42,1322,4,1.0,1.0,7.0,15.0,97.0,106.0,119.0,1.0,"[[0,333],[96,257],[168,231],[60,116],[144,94],[48,76],[120,59],[24,58]]"
120,0,33,Jazz Kit RX1,46,1287,24,36.0,79.0,88.0,99.0,110.0,115.0,127.0,29.0,"[[0,765],[96,368],[132,81],[144,45],[60,15],[48,6],[156,2],[180,2]]"
120,0,33,Jazz Kit RX1,18,1280,8,19.0,52.0,58.0,70.5,82.0,99.0,126.0,33.0,"[[48,267],[144,234],[96,165],[156,162],[60,158],[0,148],[132,129],[168,11]]"
120,0,41,Brush Kit 2,39,1279,9,31.0,48.0,48.0,90.0,101.0,109.0,127.0,1.0,"[[0,826],[96,306],[144,69],[48,46],[180,19],[60,4],[156,3],[84,2]]"
120,0,1,Standard Kit RX2,24,1277,2,12.0,26.0,42.0,65.0,95.0,110.0,127.0,1.0,"[[0,582],[132,319],[60,287],[144,27],[96,24],[156,12],[108,6],[84,6]]"
120,0,31,House Kit RX2,54,1275,5,31.0,31.0,54.0,63.0,71.0,95.0,127.0,1.0,"[[0,421],[96,414],[48,171],[144,168],[168,51],[72,50]]"
120,0,2,Standard Kit RX3,46,1261,23,29.0,63.0,74.0,98.0,110.0,113.0,127.0,24.0,"[[96,542],[0,351],[156,165],[60,59],[144,42],[12,33],[108,32],[132,22]]"
120,0,5,Standard Kit RX1,54,1259,4,32.0,39.0,45.0,65.0,85.0,103.0,127.0,3.0,"[[0,441],[96,394],[144,254],[48,170]]"
120,0,42,Brush Kit RX1,39,1256,19,12.0,15.0,44.0,87.0,96.0,102.0,127.0,2.0,"[[0,867],[96,212],[132,104],[144,33],[156,9],[60,8],[72,7],[168,6]]"
120,0,30,House Kit RX1,36,1248,8,50.0,100.0,110.0,120.0,126.0,127.0,127.0,2.0,"[[0,989],[96,204],[156,45],[144,7],[60,2],[120,1]]"
120,0,34,Jazz Kit RX2,70,1246,5,30.0,30.0,37.25,61.0,74.0,93.0,127.0,1.0,"[[0,344],[60,240],[132,238],[96,216],[48,104],[144,104]]"
120,0,34,Jazz Kit RX2,59,1242,13,36.0,45.0,52.0,70.0,85.0,98.0,127.0,2.0,"[[0,522],[96,288],[132,250],[60,151],[144,23],[168,4],[156,3],[48,1]]"
120,0,90,Pop Std. Kit 2,36,1238,4,74.0,104.0,109.0,109.0,118.0,118.0,120.0,2.0,"[[0,1060],[96,168],[36,6],[132,4]]"
120,0,123,Analog Kit,69,1234,3,29.0,39.0,52.0,63.0,76.0,84.0,123.0,1.0,"[[0,334],[48,300],[96,300],[144,300]]"
120,0,2,Standard Kit RX3,40,1232,19,1.0,40.1,64.0,111.0,120.0,126.0,127.0,47.0,"[[0,659],[96,104],[156,80],[144,78],[48,73],[120,69],[60,61],[36,40]]"
120,0,66,Trinity Perc.Kit,39,1201,4,29.0,81.0,92.0,116.0,125.0,125.0,125.0,1.0,"[[0,841],[12,248],[180,48],[168,28],[96,23],[24,10],[144,3]]"
120,0,34,Jazz Kit RX2,40,1191,26,23.0,80.0,105.0,121.0,126.0,127.0,127.0,30.0,"[[0,837],[144,69],[96,66],[36,66],[132,48],[108,32],[48,27],[168,17]]"
120,0,90,Pop Std. Kit 2,70,1187,3,52.0,71.0,113.0,114.0,114.0,115.0,127.0,8.0,"[[0,592],[96,492],[144,103]]"
120,0,13,HipHop Kit 2,42,1184,5,27.0,55.0,65.0,82.0,105.0,126.0,126.0,1.0,"[[96,561],[0,558],[60,49],[156,16]]"
120,0,1,Standard Kit RX2,54,1178,5,1.0,39.0,39.0,87.0,91.0,95.0,127.0,2.0,"[[0,592],[96,228],[144,228],[48,130]]"
120,0,48,Orchestra Kit GM,38,1178,4,8.0,41.0,60.0,81.0,115.0,127.0,127.0,23.0,"[[0,714],[132,198],[60,94],[96,93],[144,22],[180,18],[120,12],[108,6]]"
120,0,66,Trinity Perc.Kit,93,1149,11,16.0,77.0,102.0,110.0,124.0,127.0,127.0,46.0,"[[0,726],[96,381],[132,9],[60,8],[120,6],[144,6],[168,6],[24,2]]"
120,0,15,Techno Kit 3,54,1125,3,28.0,41.0,52.0,62.0,88.0,102.0,127.0,1.0,"[[0,354],[96,327],[60,224],[156,194],[132,26]]"
120,0,5,Standard Kit RX1,39,1122,5,70.0,99.0,105.0,125.0,125.0,127.0,127.0,1.0,"[[0,912],[12,136],[24,48],[180,22],[48,2],[96,2]]"
120,0,73,Techno Kit RX,42,1109,3,1.0,48.0,76.0,102.0,106.0,107.0,127.0,1.0,"[[0,499],[96,258],[60,250],[156,70],[132,32]]"
120,0,64,Percussion Kit,20,1102,13,20.0,64.1,75.0,80.0,90.0,99.0,118.0,22.0,"[[0,610],[96,337],[48,70],[144,68],[168,5],[24,4],[72,4],[84,2]]"
120,0,1,Standard Kit RX2,44,1088,11,11.0,68.0,88.0,105.0,126.0,127.0,127.0,1.0,"[[0,946],[96,115],[132,10],[144,9],[48,7],[84,1]]"
120,0,89,Pop Std. Kit 1,46,1058,18,58.0,78.0,78.0,95.0,108.0,113.0,127.0,32.0,"[[96,827],[0,95],[168,48],[144,40],[132,18],[180,14],[48,9],[120,5]]"
120,0,41,Brush Kit 2,35,1057,5,33.0,60.6,87.0,104.0,113.0,118.0,124.0,1.0,"[[0,667],[96,333],[144,40],[12,10],[72,5],[60,2]]"
